,Titles,Brands,Prices,Stars,Ratings,Review_Words
803,"Sony MDR-PQ5/Z PIIQ Bass Earbuds, Multicolor",Sony,10.9,4.5,25.0,"['sound quality', 'earbuds', 'quality is very good', 'great bass', 'earbuds', 'headphones', 'ears', 'sounds', 'iphone', 'ipod', 'player', 'volume']"
804,SONY Canal type Earphone Yellow MDR-EX150 / Y,Sony,45.36,4.1,8.0,['No Review']
805,JVC Lightweight Water-Resistant Sweat-Proof Active Sport Headphones (Black),JVC,,1.9,3.0,['No Review']
806,"Audio Technica ATH-CKS55iBK Solid Bass In-ear Communications Headphones with Mic, Volume & Integrated Controls",Audio-Technica,,3.4,16.0,['No Review']
807,Sony Canal Type Earphone White Mdr-ex150 / W,Sony,88.66,4.1,21.0,['No Review']
808,Panasonic Wireless Stereo Headphone RP-HTX80B-K (MATT BLACK)【Japan Domestic genuine products】,Panasonic,84.0,3.8,39.0,['No Review']
809,"Audio-Technica ATH-ANC100BT QuietPoint Wireless In-Ear Active Noise-Cancelling Headphones, Black",Audio-Technica,99.0,3.6,17.0,['No Review']
810,JVC HA-ENR15-A-E blau,JVC,24.75,4.2,12.0,['No Review']
811,Sony WF-SP800N/B Truly Wireless Sports in-Ear Noise Canceling Headphones (Black) with Sony MDR-EX15AP Fashion Color EX Series Earbuds Bundle (2 Items),Sony,199.99,,0.0,['No Review']
812,"Bang & Olufsen Beoplay E8 3rd Generation True Wireless in-Ear Bluetooth Earphones, with Microphones and Touch Control, Wireless Charging Case, 35-Hour Playtime, Black",Bang & Olufsen,263.98,3.7,296.0,"['battery life', 'bang and olufsen', 'sound quality', 'transparency mode', 'noise cancelling', 'true wireless', 'charging case', 'active noise', 'touch controls', 'noise cancellation', 'high end', 'right earbud']"
813,Monster iSport SuperSlilm Bluetooth Wireless in-Ear Headphones. Lightweight & Sweat Resistent Headphones,Monster,25.99,5.0,0.0,['No Review']
814,Jabra BT2070 Bluetooth Headset,Jabra,,2.7,9.0,['No Review']
815,Panasonic in-Ear Lightweight Water-Resistant Active Sport Stereo Headphones (Violet),Panasonic,,,0.0,['No Review']
816,JBL T210 Pure Bass in-Ear Headphones with Microphone - White,JBL,25.5,3.8,762.0,['No Review']
817,Panasonic stereo earphones external connection terminal plug (docomo / SoftBank only) white RP-HJD150-W (japan import),Panasonic,,,0.0,['No Review']
818,Koss Ear Bud Stereo,Koss,9.64,5.0,3.0,['No Review']
819,"JVC Wireless Memory Foam Earbud Marshmallow Wireless Memory Foam Earbud, Black (HAFX29BTB)",JVC,29.29,3.3,118.0,"['sound quality', 'battery life', 'memory foam', 'stopped working', 'earbud', 'stay in my ears', 'ear pieces', 'easy to use', 'quality was good', 'price point', 'loud enough', 'wireless headphones', 'hours on a charge', 'work well']"
820,JVC GUMY HA-F14-V,JVC,9.49,4.6,163.0,"['favorite headphones', 'find in stores', 'love these earbuds', 'sound quality', 'quality is good', 'last 10 years', 'good quality', 'ear', 'audio', 'fall']"
821,JVC HAFR325N GOLD Premium Sound In Ear Headphones with Remote/Mic/Original,JVC,29.75,4.0,6.0,['No Review']
822,Sennheiser Flex 5000 Digital Wireless Headphone,Sennheiser Consumer Audio,199.95,4.4,113.0,"['ear buds', 'sound quality', 'hearing aids', 'digital optical', 'volume control', 'hearing loss', 'around the house', 'sennheiser flex', 'base unit', 'easy to use', 'works great', 'watch movies', 'right out of the box']"
823,"Panasonic Wired Earphones - Wired, Orange (RP-HJE125-D)",Panasonic,10.9,4.4,270.0,['No Review']
824,Monster iSport Victory in-Ear Wireless Headphones,Monster,39.75,3.1,51.0,['No Review']
825,SONY h.ear in canal type earphone High-Resolution sound with remote control Microphone Bordeaux Pink MDR-EX750AP / P,Sony,59.9,4.8,5.0,['No Review']
826,Sony MDR-XB80BS Blue Premium Waterproof Bluetooth Wireless Extra Bass Sports in-Ear 7 Hr of Playback Headphones/Microphone (International Version),Sony,,2.0,2.0,['No Review']
827,JBL TUNE 205 - In-Ear Headphone with One-Button Remote/Mic - Champagne Gold,JBL,19.95,4.3,11.0,['No Review']
828,Philips SHS3201/37 Flexible Earhook with Bud -White (Discontinued by Manufacturer),PHILIPS,18.97,3.9,119.0,"['sound quality', 'small ears', 'good sound', 'stay in place', 'great sound', 'sound good', 'work great', 'big ears', 'ipod earbuds', 'came with my ipod', 'around my ear', 'buy another', 'stay put', 'another pair', 'well worth']"
829,Samsung GH59-11720A Headset-Ehs64Avfwe 3.5Pi 4P,SAMSUNG,30.39,2.7,10.0,['No Review']
830,Sony MDR-EX81LP Bud-Style Stereo Earphones (White) (Discontinued by Manufacturer),Sony,,3.8,241.0,"['sound quality', 'ear canal', 'great sound', 'small ears', 'much better', 'carrying case', 'bass response', 'pretty good', 'ambient noise', 'good sound', 'around the ear', 'stock ipod', 'earbud', 'stay put']"
831,"Skullcandy Uproar Bluetooth Wireless On-Ear Headphones with Built-In Mic and Remote, Black",Skullcandy,34.99,4.4,1990.0,"['sound quality', 'battery life', 'pretty good', 'skullcandy', 'wireless headphones', 'lightweight', 'long time', 'good sound', 'easy to use', 'stopped working', 'highly recommend', 'comfortable to wear']"
832,"JBL ENDURANCE SPRINT- Wireless Headphones, Bluetooth Sport EarphOnes with Microphone, Waterproof, up to 8 Hours Battery and Quick Charge, works with Android and Apple iOS (Teal)",JBL,49.95,4.0,714.0,"['sound quality', 'battery life', 'touch controls', 'around your neck', 'phone calls', 'endurance sprint', 'adjust the volume', 'change volume', 'bluetooth headphones', 'noise cancellation', 'try to adjust', 'sound is good']"
833,Phillips Ear hook type SHQ3200 it hard to come off from the sports model earphone ear strong in sweat (Japan Import),PHILIPS,,3.4,12.0,['No Review']
834,"Original Samsung OEM Black Stereo Headset Handsfree AAEP485MBE (GH59-07345A) EHS497QOME for Samsung: A117, A127, A137, A167, A177, A237, A257 (MAGNET), A517, A637, A737, A747, A767, A777, A827, A837, A867 (Eternity), A877 (Impression), A887 (Solstice), i325, i617, i627 (Propel pro), i637 (Jack), i907 (Epix), i910 (Omnia), M310, M510, M520, R200, R300, R310 (Byline), R311 (Axle), R400, R410, R4",SAMSUNG,,3.9,23.0,"['cell phone', 'sound quality', 'works great', 'headset', 'cord', 'hear', 'stereo', 'volume']"
835,"Monster N-Lite In-Ear Headphones, Candy Blueberry",Monster,15.99,5.0,5.0,['No Review']
836,"Samsung Level U Pro Active Noise Cancelling and UHQ Audio, Black",SAMSUNG,,3.3,368.0,"['noise cancelling', 'battery life', 'sound quality', 'noise cancellation', 'active noise', 'around my neck', 'audio quality', 'listening to music', 'sound great', 'ear pieces', 'earbud', 'save your money', 'quality is good']"
837,Philips Lightweight in-Ear Headphones SHE7000BK/98 Extra Bass Version (Black),PHILIPS,24.99,3.8,6.0,['No Review']
838,JVC HAEN10 Gumy Sport In Ear Headphones - Black,JVC,17.44,4.0,56.0,['No Review']
839,JVC Stereo in-Ear Lightweight Water-Resistant Active Sport Headphones (Blue),JVC,20.71,2.0,0.0,['No Review']
840,Plantronics WH500 Spare Headset,Plantronics,114.99,3.8,7.0,['No Review']
841,Koss-Headphones Plug R Noise Isolating Earbud Red - Memory Foam Cushions,Koss,19.59,,0.0,['No Review']
842,"Ear-Bud,MIC,BASS,White,",PHILIPS,15.79,5.0,2.0,['No Review']
843,"Philips SHQ1400 ActionFit Sports Earbuds, White Green",PHILIPS,9.99,3.6,7.0,['No Review']
844,Audio-Technica ATH-LS300iS In-Ear Triple Armature Driver Headphones with In-Line Mic & Control,Audio-Technica,194.12,5.0,2.0,['No Review']
845,Monster Beats by Dr Dre iBeats Headphones with ControlTalk - In-Ear Noise Isolation - Chrome Retail Packaging (Discontinued by Manufacturer),Monster,,3.8,270.0,"['sound quality', 'stopped working', 'great sound', 'waste of money', 'ear tips', 'good care', 'listening to music', 'noise isolation', 'ear bud', 'ear pieces', 'headphones and speakers', 'control talk', 'good quality']"
846,Audio-Technica ATH-CKRS90iS Sound Reality In-Ear High-Resolution Headphones with Mic & Control,Audio-Technica,189.0,4.1,7.0,['No Review']
847,Sony in-Ear Dynamic Headphones MDR-XB50-B (Black) International Version,Sony,44.99,4.2,231.0,"['ear buds', 'sound quality', 'sound great', 'extra bass', 'headphones ever', 'great sound', 'pair of headphones', 'ears', 'durable', 'noise', 'running', 'break', 'cord', 'hear', 'volume', 'audio', 'decent', 'earbuds']"
848,"Plantronics BackBeat FIT 3200 Bluetooth Earbuds, True Wireless Sport, Black",Plantronics,149.99,4.2,456.0,"['sound quality', 'battery life', 'backbeat fit', 'great sound', 'true wireless', 'charging case', 'awareness mode', 'stay in place', 'noise cancellation', 'phone calls', 'sound great', 'wireless earbuds', 'stay put', 'touch sensitive']"
849,Sony MDREX85LP/BLK Soft Earbud with Soft Clip and Case (Discontinued by Manufacturer),Sony,198.95,3.5,393.0,"['sound quality', 'ear canal', 'much better', 'wrap around', 'good sound', 'sound great', 'earbud', 'second pair', 'bass response', 'outside noise', 'even though', 'sound good', 'fit my ears', 'ambient noise', 'stay in place']"
850,JVC HAFX103MR RED Xtreme Xplosives in-Ear Headphones RED Original/New Brand,JVC,,3.5,66.0,['No Review']
851,KOSS 184515 UR10i On-Ear Headphones with Microphone,Koss,,,0.0,['No Review']
852,"Audio-Technica ATH-C200BT Bluetooth Wireless In-Ear Headphones with In-Line Mic & Control, Black",Audio-Technica,49.0,1.0,2.0,['No Review']
853,"Panasonic RPHJE290A Earbud Earphone, Blue",Panasonic,17.99,,0.0,['No Review']
854,"Koss 155954 VC20 Volume Control, Standard Packaging",Koss,9.99,4.0,1302.0,"['adjust the volume', 'sound quality', 'earbuds', 'volume controls', 'inline volume', 'stopped working', 'kindle fire', 'pillow speaker', 'works perfectly', 'headphones', 'turn the volume', 'recommend it to anyone']"
855,Beats X Wireless In-Ear Headphones (MLYE2LL/A) Black - Renewed,Amazon Renewed,68.97,4.0,101.0,"['sound quality', 'headphones', 'refurbished', 'spend', 'wearing']"
856,"JLab Audio Fit2 Sport Earbuds, Sweatproof, Water Resistant with in-Wire Customizable Earhooks, Guaranteed Fit, Guaranteed for Life - Black/Blue",JLAB,,3.8,50.0,"['around the ear', 'sound quality', 'quality is good', 'earbuds', 'ears', 'stay', 'comfort', 'headphones', 'running', 'clip', 'cord', 'update', 'audio', 'mic', 'sounds', 'volume']"
857,Sony MDR-EX38IP/BLK EX Ear-Bud Headphones with iPod Remote,Sony,,3.3,117.0,['No Review']
858,Truly Wireless Earbuds Push Hyper Tropical (12 Moods Limited Edition/July Color) S2BBW-M702【Japan Domestic Genuine Products】 【Ships from Japan】,Skullcandy,,,0.0,['No Review']
859,"Audio-Technica ATH-CK3TWBK Wireless in-Ear Headphones, Black, Bluetooth 5.0, Water-Resistant, 6 hr Battery",Audio-Technica,99.0,4.2,63.0,"['touch controls', 'bass and clear', 'sound quality', 'great sound', 'sound great', 'earbuds', 'buds', 'earbud', 'stay', 'features', 'listening', 'mids']"
860,JBL Synchros Reflect BT In-Ear Bluetooth Sport Headhpones Blue,JBL,39.99,3.1,131.0,"['battery life', 'earbuds', 'sound quality', 'stopped working', 'great sound', 'worked well', 'synchros reflect', 'waste of money', 'sound great', 'ear tips', 'couple months', 'fully charged', 'recommend anyone', 'stay in my ears']"
861,"JBL Quantum 50 Wired, in-Ear Gaming Headphones with Inline Control - White",JBL,29.95,,0.0,['No Review']
862,Panasonic SAKIOTO Sealed Earbuds (Lavender Purple) Inner Earphones,Panasonic,,4.8,6.0,['No Review']
863,Sony MDR-EX10LP/DBL Earbud Headphones Cobalt Blue,Sony,,3.7,2529.0,"['sound quality', 'stopped working', 'earbud', 'headphones', 'waste of money', 'great price', 'another pair', 'get what you pay', 'much better', 'second pair', 'highly recommend', 'left side', 'outside noise']"
864,"JVC HA-FW01 Wood Series IEM Class-S Solidege with Remote, Mic, and Detachable MMCX Cable",JVC,329.99,4.3,79.0,"['sound signature', 'bass', 'treble', 'compared', 'earbuds', 'soundstage', 'audio', 'controlled', 'deep', 'sounding', 'audiophile', 'ear', 'listen', 'matter', 'tips', 'drive', 'fiio', 'require']"
865,"Skullcandy Method Sweat Resistant Sport Earbud with In-Line Microphone and Remote, Lightweight and Secure In-Ear Fit for Running and Exercise, Cable Management Clip for Workouts, Gray",Skullcandy,,4.3,1952.0,"['sound quality', 'skullcandy', 'great sound', 'sweat resistant', 'stopped working', 'noise cancellation', 'highly recommend', 'good sound', 'earbud', 'headphones', 'last long', 'really good', 'best earbuds']"
866,Sony WF-SP700N Sport True Wireless Bluetooth In Ear Headphones w/ Noise Canceling - Black (Renewed),Amazon Renewed,67.99,3.1,40.0,"['battery life', 'sound quality', 'noise cancellation', 'low', 'bluetooth', 'hour', 'watching']"
867,Panasonic RPNJ300BEK Wireless Ergo-Fit Bluetooth Earphones Black RPNJ300,Panasonic,63.75,3.3,45.0,['No Review']
868,Koss KEB15i Earset,Koss,35.28,3.9,4.0,['No Review']
869,Audio Technica ATH-EQ300M WH White | Ear-Fit Headphones (Japan Import),Audio-Technica,15.99,4.1,129.0,"['sound quality', 'sound great', 'audio technica', 'sound leakage', 'work great', 'pair of headphones', 'ear', 'earbuds', 'headphone', 'volume', 'break', 'clip', 'listening', 'sounds', 'totally', 'type']"
870,Koss KEB6W In-Ear 13mm Stereophone Earbuds,Koss,14.71,5.0,0.0,['No Review']
871,Shure SE112 | Sound Isolating Earphones Dynamic MicroDriver Fixed Cables Grey,Shure,,3.4,9.0,['No Review']
872,Philips SHE7050PP/27 Earbuds - Headphones Crystal Clear Natural Sound Purple,PHILIPS,12.99,3.7,14.0,['No Review']
873,"Sony MDRXB50AP Extra Bass Earbud Headphones/Headset with Mic for Phone Call, Black",Sony,29.99,4.4,10074.0,"['sound quality', 'extra bass', 'stopped working', 'highly recommend', 'noise cancellation', 'another pair', 'bang for your buck', 'good sound', 'noise cancelling', 'second pair', 'ever owned', 'much better', 'earbud']"
874,Samsung Wired Headset for Samsung - White (Certified Refurbished),Amazon Renewed,11.49,,0.0,['No Review']
875,Panasonic Ergofit in Ear Earbuds,Panasonic,9.99,4.4,554.0,"['sound quality', 'earbuds', 'small ears', 'price point', 'good sound', 'noise cancelling', 'fit perfectly', 'second pair', 'long time', 'sound good', 'comfortable to wear', 'sound great', 'last a long', 'stopped working']"
876,Panasonic RP-HJE100-A Noise Isolation In-Ear Earphones (Blue) (Discontinued by Manufacturer),Panasonic,14.0,3.3,3.0,['No Review']
877,"Jabra Elite Active 45e Wireless Sports Earbuds, Navy – Alexa Built-in Wireless Bluetooth Earbuds, Around-The-Neck Style with a Secure Fit and Superior Sound, Long Battery Life, Ideal for Running",Jabra,49.99,4.2,68.0,"['battery life', 'sound quality', 'listen to music', 'elite active', 'earbuds', 'going on around', 'voice prompts', 'come loose', 'around your neck', 'wireless earbuds', 'easy to use', 'long time', 'quality is good', 'ear piece']"
878,SONY In-Ear Headphones exclusively for Walkman with Noise-canceling Function | MDR-NWNC33 B Black,Sony,68.5,4.0,327.0,['No Review']
879,JLab Audio Metal Wired Rugged Earbuds | Titanium 8mm Drivers | Universal Mic for iPhone & Android | Noise Isolation | Cable Clip | IP55 Sweat Proof Rating Extra Gel Tips & Cush Fins | Black / Pink,JLAB,,4.1,12.0,['No Review']
880,"Philips SHQ1300LF/27 ActionFit Sports Headphones, Lime",PHILIPS,,3.7,386.0,"['sound quality', 'ear buds', 'stay in my ear', 'stay put', 'ambient noise', 'work well', 'allows you to hear', 'hear the music', 'good sound', 'good for the price', 'set of headphones', 'listen to music', 'price point']"
881,Plantronics MX200 FlexGrip Universal Earbud Headset - 2.5mm & 3.5mm,Plantronics,21.99,3.9,82.0,"['sound quality', 'clear sound', 'good sound', 'ear piece', 'like the bluetooth', 'headset', 'adapter', 'hear', 'earbud', 'pocket', 'volume', 'wireless', 'package', 'stay', 'button', 'call', 'clip', 'cord', 'devices']"
882,Jabra SPORT ROX Bluetooth Wireless Stereo Earbuds,Jabra,24.95,3.5,49.0,"['stopped working', 'sound quality', 'sport rox', 'battery life', 'earbuds', 'last 5 hours', 'stay in my ears', 'working after 2 months', 'keep them in my ears', 'good sound', 'headphones', 'warranty', 'earbuds']"
883,Beats EP Wired Headphones - Red with AppleCare+ Bundle,Beats,120.0,4.0,2.0,['No Review']
884,Skullcandy Smokin' Buds (Discontinued by Manufacturer),Skullcandy,,3.7,153.0,"['sound quality', 'smokin buds', 'great sound', 'earbud', 'second pair', 'mic', 'bass', 'earphones', 'compared', 'usually', 'dont', 'lasted', 'mids', 'pocket', 'cord', 'giving', 'low', 'sounds']"
885,"Jabra Elite Active 65t Earbuds – True Wireless Earbuds with Charging Case, Copper Black – Bluetooth Earbuds with a Secure Fit and Superior Sound, Long Battery Life and More (Renewed)",Amazon Renewed,89.99,3.9,621.0,"['sound quality', 'battery life', 'noise cancellation', 'earbud', 'left earbud', 'elite active', 'right earbud', 'charging case', 'stopped working', 'left ear', 'different size', 'like new', 'great sound', 'noise cancelling', 'pretty much']"
886,Panasonic Stereo Earphones Sealed Pink DEEP FIT BASS RP-HJE255-P (Japan Import),Panasonic,124.66,2.5,3.0,['No Review']
887,Sony Wireless Stereo Dynamic In-Ear Headset - MDR-EX31BN/R (Red) Bluetooth power cLass2 Ver.3,Sony,108.0,4.1,263.0,"['battery life', 'sound was very good', 'sound quality', 'headphones', 'bluetooth', 'ear', 'buds', 'clip']"
888,"Audio-Technica ATH-SPORT90BTBK SonicSport Wireless in-Ear Headphones, Black",Audio-Technica,159.0,2.0,0.0,['No Review']
889,"Sony MDRXB70BT/B Wireless, In-Ear Headphone, DARK Black",Sony,,3.9,92.0,"['battery life', 'sound quality', 'around the neck', 'stopped working', 'last year', 'great sound', 'right side', 'sound good', 'quality is good', 'sound great', 'good sound', 'bass', 'earbuds', 'range', 'wireless']"
891,JVC HAFX5W GUMY Headphones - White,JVC,5.9,3.9,18.0,['No Review']
892,SONY Wireless noise canceling stereo earbuds WF-1000X BM (BLACK)(International version),Sony,198.0,2.9,203.0,['No Review']
893,JVC HA-FX102B Black in-Ear Headphones HAFX102,JVC,,3.7,54.0,['No Review']
894,Sony Earphones- MDREX15LP (Black),Sony,20.26,4.1,2364.0,"['earbuds', 'stopped working', 'listen to music', 'sound quality', 'couple months', 'right side', 'every 6 months', 'sound was good', 'great sound', 'volume', 'bass', 'ears', 'earbud', 'hear']"
895,"JLab Audio JBuds Air True Wireless Signature Bluetooth Earbuds + Charging Case - Black - IP55 Sweat Resistance - Bluetooth 5.0 Connection - 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost",JLAB,49.0,4.1,5486.0,"['sound quality', 'battery life', 'wireless earbuds', 'true wireless', 'stopped working', 'earbud', 'right earbud', 'noise cancellation', 'highly recommend', 'left earbud', 'price point', 'listening to music']"
896,"Bang & Olufsen Beoplay E8 2.0 Motion True Wireless In-Ear Earphones, Graphite, One size - 1646701",Bang & Olufsen,273.25,3.7,107.0,"['bang and olufsen', 'sound quality', 'noise cancellation', 'wireless charging', 'earbuds', 'battery life', 'noise isolation', 'every time', 'memory foam', 'fully charged', 'touch sensitive', 'secure fit', 'ear pieces']"
897,Monster Gwen Stefani Super Kawaii Harajuku In-Ear Headphones,Monster,29.0,3.5,9.0,['No Review']
898,JVC HAF160R Gumy Ear Bud Headphone Red,JVC,8.56,4.3,2698.0,"['sound quality', 'earbud', 'last a long', 'stopped working', 'long time', 'work well', 'hurt my ears', 'great price', 'good sound', 'gumy ear', 'hard plastic', 'get what you pay', 'job done', 'pretty good', 'great sound']"
899,Panasonic stereo earphones Suites Jewel White RP-HJF3-W (japan import),Panasonic,46.52,4.4,106.0,['No Review']
900,"JBL USB C Earphones with Microphone Active Noise Cancelling Earbuds Wired in-Ear Type C Headphones for Google Pixel, Moto, Xiaomi, HTC, Samsung, iPad Pro 2018,Razer,Essential,MacBook (Black)",JBL,,2.0,2.0,['No Review']
901,JVC HAFX5P Gumy Plus Inner Ear Headphones (Pink),JVC,7.99,4.3,2279.0,"['sound quality', 'inner ear', 'gumy plus', 'another pair', 'great price', 'earbud', 'hafx5b gumy', 'plus inner', 'noise cancelling', 'ear canal', 'left earbud', 'pistachio green', 'bang for your buck', 'highly recommend']"
902,Sony XBAH1 Hybrid 2-Way Driver In-Ear Headphones,Sony,,3.9,166.0,"['sound quality', 'earbuds', 'comply tips', 'in-ear headphones', 'build quality', 'save my money', 'balanced armature', 'frequency response', 'much better', 'sound pretty', 'sound good', 'pretty decent', 'foam tips']"
903,Sony MDR-XB50BS Black EXTRA BASS Sports Bluetooth In-Ear Headphones MDRXB50BS,Sony,,3.5,6.0,['No Review']
904,Jabra EarWave Corded Headset - PivotBoom 4-Pack Original Eargels - Silicone Earbuds,Jabra,7.77,3.2,4.0,['No Review']
905,Philips MyJam Beamers in Ear Headphones - Pink (SHE3550PK/27),PHILIPS,12.49,3.9,15.0,['No Review']
906,JVC in-Ear Headphones with 1-Button Remote Control and Microphone,JVC,19.75,,0.0,['No Review']
907,Sony MDR-E10LP Fashion Ear Bud In-Ear Headphones Stereo Earbuds - Black (MDRE10LP),Sony,,4.5,13.0,['No Review']
908,"Panasonic RP-TCM115 Canal-Type in-Ear Headphones, Pink",Panasonic,,,0.0,['No Review']
909,"JVC HAAE1WA AE Sport Headphones, Wireless, Bluetooth 5.0, 11-Hour Battery, Touch Sensor Cotrols, Touch & Talk, Waterproof IP55 (Blue)",JVC,79.95,,0.0,['No Review']
910,Sony WI-XB400 Extra Bass Wireless in-Ear Headphones (Black) with Knox Gear Hardshell Earphone Case Bundle (2 Items),Sony,49.99,4.3,49.0,['No Review']
911,"Shure SE535 Sound Isolating Earphones with 3.5mm Cable, Remote and Mic, Bronze",Shure,,3.2,9.0,['No Review']
912,JVC Class-S Wood Series Hi-Res Sound Source corresponding HA-FW02,JVC,263.0,4.4,31.0,['No Review']
913,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds w/Improved Battery and Call Quality,Red – US Version with 10,000 mAh Super Fast 25W Portable Wireless Charger USB-C,Silver (US Version+Warranty)",SAMSUNG,,,0.0,['No Review']
914,Koss KEB6K In-Ear 13mm Stereophone Earbuds,Koss,14.01,,0.0,['No Review']
915,"Panasonic Sports Clip Earbud Headphones RP-HS34-W (White) Water Resistant, Tough, Durable, Adjustable Ear Clip, Ultra Light",Panasonic,14.9,4.1,4186.0,"['sound quality', 'koss ksc', 'fall asleep', 'headphones', 'ear canal', 'listening to music', 'years ago', 'second pair', 'get what you pay', 'lightweight', 'great sound', 'small ears', 'sound is great', 'much better']"
916,"JVC HAAE1WH AE Sport Headphones, Wireless, Bluetooth 5.0, 11-Hour Battery, Touch Sensor Cotrols, Touch & Talk, Waterproof IP55 (Gray/Yellow)",JVC,79.95,,0.0,['No Review']
917,Powerbeats Pro Totally Wireless Earphones - Apple H1 Chip - Glacier Blue with AppleCare+ Bundle,Beats,228.95,5.0,4.0,['No Review']
918,JVC Haf160 Black Gumy Bass Boost Stereo Earbud Headphones Earphones New Great Gift Ship Worldwide,JVC,,5.0,0.0,['No Review']
919,JVC HAEN10 Gumy Sport Binaural Ear Bud Headphones - Blue,JVC,19.44,4.1,29.0,['No Review']
920,Philips Philips Shs3300wt Earhook Headphones Shs3300 White,PHILIPS,19.99,4.1,564.0,['No Review']
921,Panasonic Inner Ear Headphones RP-HJE150-P,Panasonic,,4.2,369.0,['No Review']
922,Plantronics Bluetooth Headset,Plantronics,199.99,3.3,7.0,['No Review']
923,JVC Premium Splashproof Bluetooth Wireless Extra Bass Sports in-Ear Noise-Canceling Headphones (Pink),JVC,,,0.0,['No Review']
924,Skullcandy Ink'd Miami Heat Earbud Headphones,Skullcandy,,3.7,122.0,"['sound quality', 'sound great', 'great sound', 'headphones', 'earbuds', 'logo', 'bass', 'bulls', 'hear', 'lakers', 'comfortably', 'team']"
925,Jabra SPORT Bluetooth Stereo Headset - Black/Yellow (Discontinued by Manufacturer),Jabra,74.99,3.0,1346.0,"['battery life', 'sound quality', 'stopped working', 'right arm', 'earpieces', 'bluetooth headset', 'armband', 'stereo headset', 'sport bluetooth', 'right side', 'bluetooth', 'bluetooth stereo', 'back of your neck']"
926,"JBL ENDURANCE DIVE - Wireless Headphones, Bluetooth Sport EarphOnes with Microphone, Waterproof, MP3 player, up to 8 Hours Battery, Quick Charge, works with Android and Apple iOS (Black)",JBL,55.99,3.3,117.0,"['waste of money', 'use for swimming', 'headphones', 'bluetooth', 'controls', 'swim', 'ear', 'volume', 'lock', 'mode', 'device', 'pool', 'followed', 'headset', 'instructions', 'loaded', 'low', 'audio']"
927,Sennheiser MM 50 iP Earbud Headset Compatible with iPhone & MP3 Players (Discontinued by Manufacturer),Sennheiser Consumer Audio,,4.1,461.0,"['sound quality', 'stopped working', 'great sound', 'behind your neck', 'listening to music', 'build quality', 'much better', 'second pair', 'left ear', 'pretty good', 'ear canal', 'sound isolation', 'outside noise', 'left side']"
928,Audio-Technica In-Ear Headphones ATH-CKR7 (Japan Import),Audio-Technica,,3.8,71.0,['No Review']
929,KOSS 184084 KE7 EARBUDS (BLACK/WHITE) (184084) -,Koss,13.05,,0.0,['No Review']
930,Skullcandy Ink'd 2 Earbud (Blue/Black) (Discontinued by Manufacturer),Skullcandy,,4.3,761.0,"['sound quality', 'skullcandy', 'stopped working', 'great sound', 'bang for the buck', 'audio quality', 'new ones', 'feel like', 'great price', 'inked earbuds', 'price range', 'work well', 'different size']"
931,Sony In-Ear Dynamic Headphones MDR-XB50-Y (Yellow),Sony,,4.2,104.0,['No Review']
932,Shure SE846-CL-A Sound Isolating Earphones (International Version),Shure,,4.2,37.0,['No Review']
933,Bang & Olufsen H3 2nd Generation in-Ear Earphones for iOS - Champagne,Bang & Olufsen,99.0,4.1,89.0,"['sound quality', 'bose soundtrue', 'better than bose', 'best sound', 'headphones', 'earbuds', 'ears', 'build', 'apple', 'earphones', 'listen']"
934,Audio-Technica ATH-CK2000Ti In-Ear Headphones,Audio-Technica,750.0,,0.0,['No Review']
935,JVC Gumy Plus in Ear Headphones - Violet,JVC,18.35,,0.0,['No Review']
936,JBL E10REDNP Synchros E10 in-Ear Headphones,JBL,,4.1,6.0,['No Review']
937,Shure SE115 Sound Isolating Earphones - Black,Shure,,3.1,15.0,['No Review']
938,"JBL Synchros S200 Premium In-Ear Stereo Headphones with Apple 3-Button Remote, Black",JBL,99.0,3.8,133.0,"['sound quality', 'earbuds', 'carrying case', 'build quality', 'universal remote', 'stopped working', 'headphones', 'great sound', 'memory foam', 'ear pieces', 'sound like', 'ever owned', 'clear and crisp', 'sounds great']"
939,"JBL T290 Premium in-Ear Headphones with mic, Flat Cord with Universal Remote, Pure bass",JBL,,3.7,595.0,"['stopped working', 'sound quality', 'pretty good', 'left earbud', 'good sound', 'audio jack', 'sound great', 'recommend these to anyone', 'fit in the ears', 'stoped working', 'waste of money', 'another pair']"
940,Sony MDR-EX35B Bumpin Buds Stereo Headphones in Red/Red,Sony,9.9,2.6,5.0,['No Review']
941,"Urbeats3 Wired Earphones With 3.5mm Plug - Tangle Free Cable, Magnetic Earbuds, Built In Mic And Controls - Black",Beats,57.99,4.4,4579.0,"['sound quality', 'stopped working', 'waste of money', 'noise cancellation', 'worth the money', 'much better', 'last long', 'ear pieces', 'noise cancelling', 'fall out of my ears', 'lightning connector', 'phone calls', 'highly recommend']"
942,Skullcandy Smokin Buds (Discontinued by Manufacturer),Skullcandy,,4.1,302.0,"['sound quality', 'volume control', 'skullcandy', 'much better', 'fell apart', 'pretty good', 'great sound', 'waste of money', 'headphones', 'sound good', 'around my ipod', 'earbud', 'lifetime warranty', 'stopped working']"
